Mã KH,Họ tên,Giới tính,Ngày sinh,Thành phố,Tỉnh/TP,Quận/Huyện,Số điện thoại,Email,Loại KH,Điểm tích lũy,Ngày đăng ký,Nhóm tuổi,Kênh ưu tiên
KH00013,Phạm Gia Hải,Nam,22/11/1997,Khánh Hòa,Khánh Hòa,Diên Khánh,0389368874,hai874@icloud.com,Khách lẻ,724,06/06/2024,25-34,POS
KH00014,Nguyễn Minh Sơn,Nam,07/11/1993,Hà Nội,Hà Nội,Nam Từ Liêm,0786059610,nguyenminhson610@outlook.com,Khách doanh nghiệp,12872,24/08/2024,25-34,POS
KH00015,Trần Ngọc Yến,Nữ,06/08/1992,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0778131394,tran.yen1995@gmail.com,VIP,7238,22/11/2024,25-34,Marketplace
KH00016,Hoàng Hữu Việt,Nam,26/05/1971,Hà Nội,Hà Nội,Đống Đa,0348940353,hoanghuuviet353@yahoo.com,Khách lẻ,530,17/12/2024,55+,POS
KH00017,Nguyễn Mai Chi,Nữ,18/10/1997,Hải Phòng,Hải Phòng,Ngô Quyền,0981272237,chi.nguyen1997@gmail.com,Khách lẻ,817,04/12/2023,25-34,POS
KH00018,Hoàng Thùy Hạnh,Nữ,22/08/2000,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0379348633,hanh633@gmail.com,Khách lẻ,385,27/06/2024,25-34,POS
KH00019,Nguyễn Thùy Trâm,Nữ,28/11/1982,Hà Nội,Hà Nội,Ba Đình,0777188814,tram814@yahoo.com,Khách lẻ,815,08/07/2024,35-44,Telesales
KH00020,Nguyễn Đức Phúc,Nam,09/03/1990,Cần Thơ,Cần Thơ,Cái Răng,0965011957,nguyen.phuc957@outlook.com,VIP,12199,22/09/2025,35-44,POS
KH00021,Nguyễn Gia Thảo,Nữ,14/10/1990,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0977790984,thao.nguyen984@gmail.com,Khách lẻ,346,03/05/2024,35-44,POS
KH00022,Trần Mai Hà,Nữ,21/04/1992,Bình Dương,Bình Dương,Thủ Dầu Một,0354646488,tran.ha2002@gmail.com,VIP,3806,22/07/2024,25-34,Online
KH00023,Hồ Hoàng Bảo,Nam,10/07/1979,Khánh Hòa,Khánh Hòa,Nha Trang,0853269423,bao.ho2003@outlook.com,Thành viên,4452,20/04/2025,45-54,POS
KH00024,Trần Gia Anh,Nữ,26/02/1981,Hà Nội,Hà Nội,Hoàng Mai,0927800122,tran.anh122@icloud.com,Thành viên,5604,02/05/2025,45-54,POS
KH00025,Nguyễn Thị Trâm,Nữ,05/03/2007,Hà Nội,Hà Nội,Thanh Xuân,0322442710,nguyenthitram2005@icloud.com,Khách lẻ,821,27/12/2025,18-24,POS
KH00026,Hồ Thành Cường,Nam,07/12/2000,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0823294891,cuong2006@gmail.com,Khách lẻ,829,27/07/2024,25-34,POS
KH00027,Huỳnh Hồng Thảo,Nữ,07/10/2003,Đà Nẵng,Đà Nẵng,Sơn Trà,0979383893,thao.huynh893@gmail.com,Thành viên,5676,04/06/2025,18-24,POS
KH00028,Hoàng Văn Bảo,Nam,23/10/1995,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 3,0359309133,hoang.bao133@gmail.com,Thành viên,6384,18/04/2025,25-34,Online
KH00029,Phạm Thùy My,Nữ,07/09/1989,Hải Phòng,Hải Phòng,Kiến An,0796597959,pham.my2009@gmail.com,Thành viên,2360,05/05/2024,35-44,Online
KH00030,Nguyễn Thị Dung,Nữ,08/02/1990,Cần Thơ,Cần Thơ,Bình Thủy,0351805434,nguyenthidung434@gmail.com,Thành viên,1896,15/12/2025,35-44,POS
KH00031,Nguyễn Tuấn Huy,Nam,14/10/1993,Hà Nội,Hà Nội,Đống Đa,0397685357,nguyentuanhuy1981@gmail.com,Thành viên,6340,22/11/2023,25-34,Online
KH00032,Nguyễn Quang Bảo,Nam,23/03/2004,Hà Nội,Hà Nội,Ba Đình,0334016681,bao.nguyen1982@icloud.com,Khách lẻ,799,14/08/2025,18-24,POS
KH00033,Bùi Nhật Cường,Nam,19/10/1988,Cần Thơ,Cần Thơ,Ninh Kiều,0327237570,bui.cuong1983@gmail.com,VIP,8910,26/11/2023,35-44,Online
KH00034,Võ Thị My,Nữ,19/01/1977,Khánh Hòa,Khánh Hòa,Diên Khánh,0333978426,my426@gmail.com,Thành viên,372,21/02/2023,45-54,Online
KH00035,Nguyễn Khánh Tuấn,Nam,17/12/2007,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0339354429,nguyen.tuan429@gmail.com,Thành viên,1632,10/10/2023,18-24,Telesales
KH00036,Nguyễn Thu Hạnh,Nữ,09/07/2001,Đồng Nai,Đồng Nai,Biên Hòa,0913367702,hanh702@gmail.com,Thành viên,3248,07/06/2025,25-34,Telesales
KH00037,Hoàng Mai Thảo,Nữ,25/02/1991,Hà Nội,Hà Nội,Ba Đình,0919775075,hoang.thao1987@outlook.com,VIP,13002,30/12/2025,35-44,POS
KH00038,Phạm Anh Sơn,Nam,12/09/1968,Hà Nội,Hà Nội,Hoàng Mai,0393991461,son461@icloud.com,VIP,6358,28/09/2024,55+,POS
KH00039,Lê Thị Phương,Nữ,24/05/1982,Nghệ An,Nghệ An,Vinh,0765090460,phuong.le460@yahoo.com,Thành viên,5368,24/10/2023,35-44,POS
KH00040,Hoàng Mai Nhi,Nữ,10/06/1984,Khánh Hòa,Khánh Hòa,Nha Trang,0837997091,hoang.nhi1990@gmail.com,Khách lẻ,828,15/11/2023,35-44,POS
KH00041,Đặng Thanh Vy,Nữ,21/07/1999,Bình Dương,Bình Dương,Thuận An,0704243674,dangthanhvy1991@gmail.com,Khách lẻ,671,29/07/2025,25-34,Marketplace
KH00042,Phạm Hoàng Phúc,Nam,22/10/1991,Hà Nội,Hà Nội,Ba Đình,0824977309,pham.phuc1992@gmail.com,Thành viên,768,24/05/2023,35-44,Online
KH00043,Đặng Thanh Quỳnh,Nữ,07/10/1993,Khánh Hòa,Khánh Hòa,Diên Khánh,0771077049,dang.quynh1993@gmail.com,Thành viên,6244,28/09/2025,25-34,POS
KH00044,Huỳnh Mai Trang,Nữ,05/02/2003,Khánh Hòa,Khánh Hòa,Nha Trang,0823979243,trang1994@gmail.com,Khách lẻ,494,07/09/2024,18-24,POS
KH00045,Đặng Khánh Nam,Nam,02/07/1998,Hà Nội,Hà Nội,Cầu Giấy,0373451264,dangkhanhnam1995@icloud.com,VIP,16016,14/05/2023,25-34,POS
KH00046,Nguyễn Thùy Phương,Nữ,26/06/1983,Quảng Ninh,Quảng Ninh,Hạ Long,0966081571,phuong.nguyen571@yahoo.com,Thành viên,2064,28/07/2023,35-44,Telesales
KH00047,Đặng Thành Cường,Nam,02/08/1996,Quảng Ninh,Quảng Ninh,Cẩm Phả,0346559008,dangthanhcuong008@gmail.com,Khách lẻ,1191,14/02/2024,25-34,POS
KH00048,Phạm Bảo Loan,Nữ,01/05/1994,Hải Phòng,Hải Phòng,Lê Chân,0331253493,pham.loan1998@yahoo.com,Khách lẻ,725,03/05/2024,25-34,POS
KH00049,Dương Minh Long,Nam,12/09/2002,Hà Nội,Hà Nội,Nam Từ Liêm,0884475893,duong.long893@outlook.com,Thành viên,6172,03/03/2024,18-24,POS
KH00050,Trần Gia Long,Nam,23/06/1979,Quảng Ninh,Quảng Ninh,Cẩm Phả,0827757448,trangialong448@yahoo.com,Khách lẻ,867,31/08/2023,45-54,Online
KH00051,Nguyễn Thanh Ngân,Nữ,08/10/2005,Đà Nẵng,Đà Nẵng,Hải Châu,0392146593,ngan.nguyen593@gmail.com,VIP,8041,12/07/2024,18-24,Online
KH00052,Ngô Nhật Đức,Nam,12/12/1971,Khánh Hòa,Khánh Hòa,Diên Khánh,0884005427,duc.ngo427@gmail.com,Khách lẻ,428,22/12/2023,55+,POS
KH00053,Phạm Thanh Anh,Nữ,07/03/1969,Thừa Thiên Huế,Thừa Thiên Huế,Huế,0831654984,anh.pham2003@gmail.com,Thành viên,1956,28/12/2025,55+,Online
KH00054,Huỳnh Mai Hạnh,Nữ,13/06/1971,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0771734303,huynh.hanh2004@icloud.com,Khách lẻ,1760,06/10/2025,55+,Online
KH00055,Nguyễn Thùy Vy,Nữ,27/10/1983,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0854398202,nguyenthuyvy2005@icloud.com,Thành viên,372,07/03/2024,35-44,Online
KH00056,Nguyễn Ngọc Vy,Nữ,18/08/1969,Đà Nẵng,Đà Nẵng,Sơn Trà,0832873619,vy2006@outlook.com,Thành viên,5196,17/01/2023,55+,POS
KH00057,Phan Kim Hà,Nữ,17/12/1998,Cần Thơ,Cần Thơ,Bình Thủy,0815909746,ha746@gmail.com,Khách lẻ,551,18/07/2023,25-34,Online
KH00058,Lê Kim Dung,Nữ,11/08/1987,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0935981429,le.dung429@yahoo.com,VIP,13475,24/10/2024,35-44,Online
KH00059,Trần Thị Châu,Nữ,03/03/1999,Thừa Thiên Huế,Thừa Thiên Huế,Hương Thủy,0764768233,chau2009@yahoo.com,Khách doanh nghiệp,6032,09/06/2023,25-34,Online
KH00060,Hoàng Khánh Hà,Nữ,03/09/1995,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0379779577,hoangkhanhha1980@icloud.com,Khách lẻ,1464,27/06/2024,25-34,POS
KH00061,Huỳnh Thị Thảo,Nữ,15/08/1975,Thừa Thiên Huế,Thừa Thiên Huế,Phú Vang,0844993826,huynhthithao1981@outlook.com,Thành viên,1644,04/05/2023,45-54,Online
KH00062,Phạm Ngọc Loan,Nữ,03/08/1980,Bình Dương,Bình Dương,Thuận An,0935525226,loan.pham1982@icloud.com,Khách doanh nghiệp,9128,21/03/2024,45-54,Online
KH00063,Lê Gia Mai,Nữ,18/10/1982,Bình Dương,Bình Dương,Thuận An,0392029653,mai1983@yahoo.com,Khách lẻ,650,07/11/2023,35-44,POS
KH00064,Phạm Quang Bảo,Nam,22/12/2006,Hà Nội,Hà Nội,Cầu Giấy,0335711851,phamquangbao1984@gmail.com,Thành viên,992,15/06/2025,18-24,POS
KH00065,Nguyễn Thu Ngân,Nữ,27/06/1998,Khánh Hòa,Khánh Hòa,Cam Ranh,0938135116,nguyenthungan1985@gmail.com,VIP,15763,21/10/2023,25-34,Telesales
KH00066,Đỗ Hoàng Huy,Nam,08/08/1982,Quảng Ninh,Quảng Ninh,Hạ Long,0888186450,dohoanghuy450@gmail.com,Thành viên,1256,26/12/2024,35-44,Marketplace
KH00067,Nguyễn Thanh Yến,Nữ,21/10/1985,Hà Nội,Hà Nội,Cầu Giấy,0906538649,yen.nguyen649@gmail.com,VIP,9966,13/07/2024,35-44,POS
KH00068,Nguyễn Khánh Trâm,Nữ,15/07/1986,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0373762431,tram1988@gmail.com,Thành viên,832,10/02/2023,35-44,POS
KH00069,Lê Tuấn Quân,Nam,14/10/1992,Cần Thơ,Cần Thơ,Bình Thủy,0945849662,quan662@icloud.com,VIP,6754,02/04/2023,25-34,POS
KH00070,Đặng Phương Thảo,Nữ,09/10/2000,Hà Nội,Hà Nội,Hoàng Mai,0908542570,dang.thao1990@yahoo.com,Thành viên,5388,09/04/2023,25-34,Telesales
KH00071,Dương Hoàng Hiếu,Nam,09/08/2000,Hà Nội,Hà Nội,Ba Đình,0366168293,hieu.duong293@gmail.com,Thành viên,3372,09/10/2023,25-34,POS
KH00072,Phạm Quang Cường,Nam,12/02/1995,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0921593288,cuong1992@icloud.com,Khách lẻ,1119,28/10/2025,25-34,POS
KH00073,Hoàng Đức Quân,Nam,01/04/2004,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 3,0883430080,quan080@outlook.com,Thành viên,3124,11/05/2025,18-24,POS
KH00074,Trần Văn Khang,Nam,16/02/1969,Bình Dương,Bình Dương,Dĩ An,0913849670,khang1994@yahoo.com,VIP,13937,10/06/2025,55+,Online
KH00075,Nguyễn Thị Trâm,Nữ,05/01/1985,Hà Nội,Hà Nội,Ba Đình,0986138704,nguyen.tram704@gmail.com,Thành viên,2412,18/02/2025,35-44,Telesales
KH00076,Huỳnh Hồng Trang,Nữ,26/02/1992,Quảng Ninh,Quảng Ninh,Hạ Long,0798565797,trang.huynh1996@outlook.com,Thành viên,3416,19/06/2023,25-34,Online
KH00077,Nguyễn Quang Quân,Nam,17/04/1987,Hà Nội,Hà Nội,Cầu Giấy,0367131702,quan1997@gmail.com,Khách lẻ,1158,13/07/2024,35-44,POS
KH00078,Đỗ Khánh Hải,Nam,27/03/1999,Hà Nội,Hà Nội,Hoàng Mai,0813066906,hai1998@icloud.com,Thành viên,3012,13/10/2024,25-34,POS
KH00079,Phạm Anh Đức,Nam,05/02/1984,Hà Nội,Hà Nội,Đống Đa,0344937255,phamanhduc1999@gmail.com,Khách lẻ,1230,11/10/2024,35-44,POS
KH00080,Nguyễn Gia Trang,Nữ,22/11/1984,Cần Thơ,Cần Thơ,Bình Thủy,0768068454,nguyen.trang2000@gmail.com,Khách lẻ,745,23/01/2024,35-44,Online
KH00081,Huỳnh Bảo Yến,Nữ,06/06/1994,Đà Nẵng,Đà Nẵng,Hải Châu,0974726380,yen2001@yahoo.com,Khách lẻ,414,06/10/2023,25-34,Online
KH00082,Vũ Thị Phương,Nữ,08/01/1986,Hà Nội,Hà Nội,Hoàng Mai,0923071771,vuthiphuong2002@icloud.com,Khách doanh nghiệp,920,20/08/2023,35-44,Marketplace
KH00083,Vũ Kim Yến,Nữ,20/03/1991,Đồng Nai,Đồng Nai,Biên Hòa,0962476114,vukimyen114@gmail.com,Thành viên,416,17/07/2023,35-44,POS
KH00084,Nguyễn Kim Dung,Nữ,03/05/2000,Hà Nội,Hà Nội,Thanh Xuân,0321120019,dung.nguyen2004@gmail.com,Thành viên,4160,20/12/2024,25-34,Online
KH00085,Huỳnh Tuấn Hải,Nam,03/03/1995,Hà Nội,Hà Nội,Nam Từ Liêm,0706594129,huynh.hai129@gmail.com,Khách lẻ,1286,23/03/2025,25-34,POS
KH00086,Trần Kim Thảo,Nữ,13/03/1992,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0935231502,trankimthao2006@gmail.com,Khách lẻ,372,14/12/2023,25-34,Online
KH00087,Nguyễn Anh Đạt,Nam,22/04/1970,Đà Nẵng,Đà Nẵng,Thanh Khê,0902788514,dat2007@yahoo.com,Thành viên,5060,13/05/2025,55+,Telesales
KH00088,Hoàng Gia Linh,Nữ,20/08/1973,Đà Nẵng,Đà Nẵng,Hải Châu,0977983507,linh507@outlook.com,Thành viên,2528,10/12/2023,45-54,Marketplace
KH00089,Nguyễn Gia Giang,Nữ,28/04/1998,Bình Dương,Bình Dương,Thuận An,0886718032,nguyen.giang2009@icloud.com,Khách lẻ,389,17/09/2023,25-34,Online
KH00090,Hoàng Thùy Hà,Nữ,17/02/1985,Đồng Nai,Đồng Nai,Trảng Bom,0328404277,hoang.ha277@gmail.com,Khách lẻ,1702,09/11/2023,35-44,Online
KH00091,Nguyễn Mai Châu,Nữ,17/10/1980,Hà Nội,Hà Nội,Đống Đa,0963492946,nguyenmaichau946@icloud.com,Thành viên,6172,25/10/2023,45-54,Marketplace
KH00092,Vũ Thanh Chi,Nữ,10/11/1970,Đà Nẵng,Đà Nẵng,Hải Châu,0846606897,vuthanhchi897@gmail.com,VIP,5049,26/05/2025,55+,POS
KH00093,Lê Hữu Khang,Nam,19/09/1989,Hà Nội,Hà Nội,Đống Đa,0859924602,lehuukhang1983@icloud.com,Thành viên,4140,19/02/2023,35-44,Online
KH00094,Nguyễn Hồng Anh,Nữ,10/12/1994,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0707624749,anh.nguyen749@icloud.com,Thành viên,7080,01/12/2025,25-34,POS
KH00095,Trần Hữu Quân,Nam,28/04/1996,Hải Phòng,Hải Phòng,Ngô Quyền,0962524418,quan.tran1985@outlook.com,Thành viên,2184,23/09/2023,25-34,POS
KH00096,Trần Khánh Phương,Nữ,12/05/1974,Đà Nẵng,Đà Nẵng,Hải Châu,0706078225,tran.phuong1986@yahoo.com,Khách lẻ,1487,26/12/2023,45-54,POS
KH00097,Nguyễn Mai Ngân,Nữ,24/04/1988,Nghệ An,Nghệ An,Vinh,0777847560,ngan1987@icloud.com,Khách lẻ,1438,23/03/2023,35-44,Online
KH00098,Lê Thùy Hà,Nữ,22/11/2007,Cần Thơ,Cần Thơ,Cái Răng,0828419930,le.ha930@gmail.com,Khách lẻ,221,22/03/2024,18-24,POS
KH00099,Nguyễn Hữu Quân,Nam,06/01/1981,Thừa Thiên Huế,Thừa Thiên Huế,Huế,0859571895,quan.nguyen1989@gmail.com,Khách lẻ,238,13/02/2023,45-54,Online
KH00100,Hoàng Thành Tín,Nam,20/04/2005,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Quận 1,0987502409,hoangthanhtin1990@gmail.com,Thành viên,3120,16/05/2023,18-24,POS
KH00101,Lê Bảo Hạnh,Nữ,11/03/1970,Cần Thơ,Cần Thơ,Cái Răng,0905137616,le.hanh1991@gmail.com,Thành viên,1008,18/04/2023,55+,POS
KH00102,Trần Hồng Dung,Nữ,24/02/1971,Bình Dương,Bình Dương,Thủ Dầu Một,0973316962,tran.dung1992@outlook.com,Thành viên,3416,26/11/2024,55+,POS
KH00103,Huỳnh Quang Hải,Nam,02/05/1984,Hà Nội,Hà Nội,Cầu Giấy,0378122715,huynhquanghai715@outlook.com,Thành viên,6308,10/05/2023,35-44,Online
KH00104,Nguyễn Tuấn Bảo,Nam,24/08/1999,Đồng Nai,Đồng Nai,Biên Hòa,0904108673,bao1994@yahoo.com,Khách lẻ,818,21/10/2025,25-34,POS
KH00105,Lê Tuấn Cường,Nam,16/03/1994,Hải Phòng,Hải Phòng,Hồng Bàng,0769704105,le.cuong105@outlook.com,Thành viên,528,10/05/2023,25-34,POS
KH00106,Phạm Hồng Chi,Nữ,03/08/2005,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0333269495,chi495@gmail.com,Khách doanh nghiệp,9672,04/12/2024,18-24,Online
KH00107,Lê Minh Thắng,Nam,15/03/1986,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Phú Nhuận,0902888817,thang.le817@yahoo.com,Khách lẻ,1592,08/02/2024,35-44,POS
KH00108,Nguyễn Thùy Nhi,Nữ,22/06/1988,Hà Nội,Hà Nội,Ba Đình,0336216210,nhi.nguyen1998@outlook.com,Thành viên,6392,08/02/2023,35-44,Online
KH00109,Bùi Văn Quân,Nam,11/02/1990,Hà Nội,Hà Nội,Thanh Xuân,0775111343,quan1999@yahoo.com,Thành viên,3248,12/08/2024,35-44,POS
KH00110,Phạm Kim Anh,Nữ,15/01/1991,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0984307474,phamkimanh2000@outlook.com,Thành viên,516,12/02/2023,35-44,Online
KH00111,Ngô Minh Thắng,Nam,21/12/1985,Hà Nội,Hà Nội,Thanh Xuân,0925568744,thang.ngo744@icloud.com,Thành viên,1696,13/08/2023,35-44,Online
KH00112,Nguyễn Hữu Sơn,Nam,11/01/1987,Hà Nội,Hà Nội,Hoàng Mai,0826715911,nguyen.son911@gmail.com,Khách doanh nghiệp,3280,06/11/2024,35-44,Online
KH00113,Vũ Gia Hạnh,Nữ,23/11/2005,Hà Nội,Hà Nội,Thanh Xuân,0368211321,hanh.vu321@yahoo.com,Khách doanh nghiệp,824,12/08/2025,18-24,Marketplace
KH00114,Lê Bảo Anh,Nữ,25/11/1995,Hải Phòng,Hải Phòng,Hồng Bàng,0334675292,le.anh292@icloud.com,VIP,11550,21/11/2025,25-34,POS
KH00115,Trần Gia Cường,Nam,25/04/1998,Hải Phòng,Hải Phòng,Hồng Bàng,0884831850,cuong.tran2005@gmail.com,Thành viên,5492,08/04/2025,25-34,POS
KH00116,Phạm Tuấn Khang,Nam,17/09/1996,Hà Nội,Hà Nội,Thanh Xuân,0703298853,khang2006@gmail.com,VIP,2189,17/09/2025,25-34,POS
KH00117,Nguyễn Thu Mai,Nữ,14/11/1981,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Bình Thạnh,0889670004,mai.nguyen004@gmail.com,Thành viên,7088,21/05/2025,45-54,POS
KH00118,Nguyễn Hồng Ngân,Nữ,04/09/1987,Bình Dương,Bình Dương,Dĩ An,0975111408,ngan2008@gmail.com,Thành viên,3484,29/06/2025,35-44,Online
KH00119,Trần Khánh Loan,Nữ,19/05/2007,Hà Nội,Hà Nội,Ba Đình,0883625679,loan.tran679@yahoo.com,Thành viên,3280,29/09/2024,18-24,Online
KH00120,Vũ Nhật An,Nam,27/06/1986,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0341424529,vunhatan1980@gmail.com,Thành viên,1308,18/02/2025,35-44,POS
KH00121,Trần Hữu Nam,Nam,05/12/1989,Bình Dương,Bình Dương,Dĩ An,0856729672,nam1981@gmail.com,Khách lẻ,646,29/09/2023,35-44,Telesales
KH00122,Nguyễn Văn Minh,Nam,08/06/1997,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Tân Bình,0855719804,nguyen.minh1982@gmail.com,Thành viên,1660,06/09/2024,25-34,POS
KH00123,Phan Hồng Ngân,Nữ,18/10/1984,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0375208692,ngan.phan1983@icloud.com,Khách lẻ,980,12/03/2024,35-44,Online
KH00124,Đặng Gia Thảo,Nữ,28/07/1996,Đà Nẵng,Đà Nẵng,Cẩm Lệ,0334410602,thao.dang1984@gmail.com,Thành viên,3356,30/06/2024,25-34,Online
KH00125,Hồ Thùy Thảo,Nữ,16/08/1981,Đồng Nai,Đồng Nai,Trảng Bom,0385156151,thao1985@gmail.com,Khách doanh nghiệp,5664,28/08/2024,45-54,POS
KH00126,Bùi Hồng Linh,Nữ,24/12/1971,Hà Nội,Hà Nội,Ba Đình,0793377474,bui.linh1986@gmail.com,Khách lẻ,1543,17/12/2023,55+,POS
KH00127,Hồ Đức Tuấn,Nam,03/01/2000,Hà Nội,Hà Nội,Thanh Xuân,0337376495,tuan1987@gmail.com,Khách lẻ,1480,22/11/2024,25-34,POS
KH00128,Trần Văn Nam,Nam,19/01/2003,Khánh Hòa,Khánh Hòa,Nha Trang,0374862838,nam.tran838@gmail.com,Khách lẻ,1462,19/08/2023,18-24,POS
KH00129,Nguyễn Khánh Sơn,Nam,18/03/1997,Đà Nẵng,Đà Nẵng,Thanh Khê,0384506254,nguyenkhanhson1989@yahoo.com,Khách lẻ,1796,03/04/2024,25-34,POS
KH00130,Phạm Thùy Trang,Nữ,16/08/2004,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0936651395,trang.pham1990@gmail.com,Khách lẻ,632,25/08/2023,18-24,POS
KH00131,Nguyễn Thùy Hà,Nữ,12/04/1979,Bình Dương,Bình Dương,Thuận An,0372524200,ha.nguyen1991@icloud.com,Khách lẻ,1245,30/08/2023,45-54,Online
KH00132,Ngô Nhật Đức,Nam,11/02/2001,Đồng Nai,Đồng Nai,Long Khánh,0909982497,ngonhatduc497@gmail.com,Khách lẻ,824,07/12/2025,25-34,Online
KH00133,Lê Thị My,Nữ,16/08/1982,Bình Dương,Bình Dương,Dĩ An,0768743120,my.le1993@gmail.com,Thành viên,6976,01/05/2024,35-44,POS
KH00134,Lê Anh An,Nam,08/06/2003,Hà Nội,Hà Nội,Ba Đình,0393348623,an.le623@outlook.com,VIP,2970,11/03/2025,18-24,POS
KH00135,Vũ Đức Phúc,Nam,21/10/2005,Hà Nội,Hà Nội,Ba Đình,0983088333,phuc1995@gmail.com,Thành viên,372,28/12/2024,18-24,Online
KH00136,Lý Ngọc Anh,Nữ,24/01/1995,Hải Phòng,Hải Phòng,Hồng Bàng,0815431204,anh204@gmail.com,Thành viên,2276,27/01/2025,25-34,Online
KH00137,Lê Thanh Ngân,Nữ,02/03/1994,Hà Nội,Hà Nội,Ba Đình,0821700082,ngan.le082@outlook.com,VIP,5775,12/05/2023,25-34,Online
KH00138,Lê Kim My,Nữ,25/01/2006,Khánh Hòa,Khánh Hòa,Nha Trang,0835885265,my.le1998@icloud.com,Thành viên,1300,28/02/2023,18-24,POS
KH00139,Nguyễn Anh Sơn,Nam,05/03/1998,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0968124759,nguyenanhson1999@icloud.com,Thành viên,2236,10/10/2024,25-34,POS
KH00140,Nguyễn Thị Anh,Nữ,05/08/1976,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0369090079,nguyen.anh2000@gmail.com,Khách lẻ,1004,12/07/2025,45-54,POS
KH00141,Nguyễn Gia Bảo,Nam,28/07/1998,TP. Hồ Chí Minh,TP. Hồ Chí Minh,Thủ Đức,0356311815,nguyen.bao815@icloud.com,Thành viên,3800,18/08/2024,25-34,Online
